"campaign_id","publish_date","type","audience","theme","anchor_proof","partner","primary_channel","secondary_channels","audience_cta","partner_ask","primary_kpi","owner","status"
"MKT-2026-09-OSF","2026-09-17","anchor","open-source builders","Open Source Friday is approved and the community can shape the live contribution","https://github.com/githubevents/open-source-friday/issues/254","GitHub","X","GitHub Discussions|Telegram community","Claim or propose a good-first issue before the stream","Confirm the date and include the visual demo in official promotion","claimed issues and confirmed stream date","Owner","ready_after_booking"
"MKT-2026-09-THREE-ACCESS","2026-09-18","utility","community and holders","What $THREE does this week: hold-to-access tiers","https://three.ws/three-token","$THREE","X","Telegram community|three.ws news","Check a wallet tier and use one live benefit","None","tier checks and benefit uses","Growth","planned"
"MKT-2026-09-IBM-EVENT","2026-09-22","anchor","enterprise builders and community","A user-group event where the 3D world is the venue and the demo","https://three.ws/play","IBM","IBM Community","X|Telegram community|three.ws news","Register and bring an avatar or build to show","Provide one product speaker and amplify the IBM event page","registrations and live attendees","Owner","awaiting_date"
"MKT-2026-09-THREE-DISCOUNT","2026-09-25","utility","community and creators","What $THREE does this week: lower-cost platform access","https://three.ws/pricing","$THREE","X","Telegram community|three.ws news","Compare the live quote and choose the lower-cost rail","None","THREE quote views and completed checkouts","Growth","planned"
"MKT-2026-09-OPENAI-STUDIO","2026-09-29","anchor","AI builders","Create a real 3D object inside an AI conversation","https://three.ws/openai","OpenAI","OpenAI Developer Community","X|LinkedIn|Telegram community|three.ws news","Try the keyless 3D Studio and share the result","Showcase or directory placement and partner-GTM introduction","tool calls and completed generations","Owner","awaiting_submission"
"MKT-2026-10-THREE-MARKET","2026-10-02","utility","creators and agents","What $THREE does this week: marketplace settlement","https://three.ws/marketplace","$THREE","X","Telegram community|three.ws news","List or buy one useful asset or skill","None","marketplace listings and settlements","Growth","planned"
"MKT-2026-10-NVIDIA-DH","2026-10-06","anchor","GPU AI and 3D developers","Audio drives a visitor-generated 3D face in the browser","https://three.ws/demos/audio2face","NVIDIA","NVIDIA Developer Forums","X|LinkedIn|Telegram community|three.ws news","Run the demo and inspect the implementation","Inception reshare and Startup Showcase consideration","demo starts and partner amplification","Owner","draft_ready"
"MKT-2026-10-THREE-LABOR","2026-10-09","utility","agent builders and community","What $THREE does this week: agent labor and escrow","https://three.ws/labor-market","$THREE","X","Telegram community|GitHub Discussions|three.ws news","Post or inspect a real task flow","None","tasks posted claimed or completed","Growth","planned"
"MKT-2026-10-CDP-X402","2026-10-13","anchor","agent and payments builders","An AI agent discovers and purchases 3D work over HTTP 402","https://three.ws/bazaar","Coinbase Developer Platform","X","Coinbase builder channels|GitHub Discussions|Telegram community|three.ws news","Run one paid call and inspect its receipt","Founders Fuel Launch Spotlight and Builder Showcase review","settled CDP calls and partner response","Owner","awaiting_application"
"MKT-2026-10-THREE-GATE","2026-10-16","utility","creators and community","What $THREE does this week: token-gated 3D content","https://three.ws/studio","$THREE","X","Telegram community|three.ws news","Create or unlock one gated embed","None","gates created and verified unlocks","Growth","planned"
